id,Star_name,Distance,Mass,Radius,Luminosity
0,Pisces,+21° 15′ 02″,36.1,K0V+T7.5,B
1,Cancer,14°  59 ′  39.6″,66,L8,CD
2,Pictor,−58° 03′ 15″,66.6,K2V,b
3,Hydra,–34° 36′ 17″,163.08,M1,b
4,Chamaeleon,–76° 27′ 19″,538,K7,b
5,Corona Borealis,30° 14′ 56″,58.3,L8,C
6,Ursa Major,+50° 23′ 23″,50.2,M2.5,b
7,Boötes,9° 17′ 13.98″,103,D4A+L4,B
8,Libra,−21° 24′ 56″,19.0,K4V+M1V+M3V,D
9,Pisces,+17° 03′ 55.7″,155.3,M3V,b
10,Ursa Major,+41° 13′ 46.31″,126.2,F7IV,B
11,Musca,–70° 11′ 41″,337.25,B9Vne,b
12,Pegasus,+14° 46′ 7.8″,58.3,T2.5,B
13,Sculptor,－33°  16 ′  26.6″,,M8.5V,C
14,Scorpius,–18° 18′ 43″,473,M7,b
15,Sculptor,−34° 42′ 39″,330,DA,B
16,Pictor,–48° 14′ 23″,139,M2,b
17,Ophiuchus,−04° 00′ 52″,241,B5VI,b
18,Monoceros,+6° 11′ 10.5″,,F7V,b
19,Ursa Major,+31° 32′ 15″,25.11,F8.5V,b
20,Andromeda,+41° 24′ 20″,43.9,F8V,Samh
21,Lyra,+33° 13′ 19″,51.9,G8V,B
22,Virgo,–09° 50′ 03″,53.81,K0V,b
23,Eridanus,–04° 25′ 06″,66.6,K5V,b
24,Canes Venatici,+51° 45′ 40″,55.44,K3V,b
25,Hydra,–15° 28′ 48″,81.54,G1V,b
26,Gemini,+30° 14′ 43″,302,K2III,b
27,Ursa Major,+47° 21′ 07″,698,G4,c
28,Aquarius,–03° 50′ 55″,58.7,K4V,b
29,Perseus,+38° 37′ 07″,163,G5V,b
30,Triangulum,+32° 18′ 59″,603.4,K2II,b
31,Fornax,–24° 58′ 30″,83.92,K2V,b
32,Andromeda,+34° 34′ 47″,124.75,F7V,b
33,Crux,−61° 52′ 18″,7097,MIII?,b
34,Boötes,+16° 06′ 04″,31.5,M3V,Ba + Bb
35,Perseus,+42° 07′ 25″,146.77,G2V,b
36,Chamaeleon,−77° 40′ 08″,522,M6.5,b
37,Monoceros,+0° 13′ 37″,4000,G2V,c
38,Serpens,–09° 35′ 34″,123.5,G5,c
39,Orion,+01° 10′ 05″,138,G4IV,c
40,Indus,–56° 47′ 09″,11.8,K5V,Bb
41,Virgo,−08° 40′ 17″,590,sdB+M,b
42,Virgo,12°  21 ′  14.7″,37.55,P,c
43,Sculptor,−37° 58′ 57.48″,136,G5V,C
44,Lepus,–21° 51′ 42″,19,M1V,B
45,Octans,－81° 40′ 29.3″,111,L3γ,2MASS J2126-8140
46,Indus,–56° 47′ 09″,11.8,K5V,Ba
47,Apus,−73° 32′ 07″,180.8,G3V,b
48,Serpens,−01° 35′ 32″,171,F9V,b
49,Corona Borealis,+28° 28′ 12″,156.42,G0V,b
50,Lupus,–35° 39′ 03″,400,K7eV,b
51,Scorpius,–40° 19′ 06″,101.95,K2V,b
52,Ophiuchus,−09° 46′ 25″,152.8,K0III,b
53,Telescopium,−59° 12′ 35″,127.52,G4IV,b
54,Pavo,−63° 57′ 43″,12.57,M8.5V,B
55,Aquila,+00° 07′ 19″,2220,G0V,b
56,Sagitta,+17° 04′ 13″,57.7,G1V,B
57,Delphinus,+14° 40′ 27″,220,A3V,B
58,Capricornus,–20° 47′ 20″,151.14,G6V,b
