id,star name,star distance,star mass,star radius
0,Capricornus,–20° 47′ 20″,151.14,G6V
1,Capricornus,–20° 47′ 20″,151.14,G6V
2,Capricornus,–20° 47′ 20″,151.14,G6V
3,Capricornus,–20° 47′ 20″,151.14,G6V
4,Capricornus,–20° 47′ 20″,151.14,G6V
5,Capricornus,–20° 47′ 20″,151.14,G6V
6,Capricornus,–20° 47′ 20″,151.14,G6V
7,Capricornus,–20° 47′ 20″,151.14,G6V
8,Capricornus,–20° 47′ 20″,151.14,G6V
9,Capricornus,–20° 47′ 20″,151.14,G6V
10,Capricornus,–20° 47′ 20″,151.14,G6V
11,Capricornus,–20° 47′ 20″,151.14,G6V
12,Capricornus,–20° 47′ 20″,151.14,G6V
13,Capricornus,–20° 47′ 20″,151.14,G6V
14,Capricornus,–20° 47′ 20″,151.14,G6V
15,Capricornus,–20° 47′ 20″,151.14,G6V
16,Capricornus,–20° 47′ 20″,151.14,G6V
17,Capricornus,–20° 47′ 20″,151.14,G6V
18,Capricornus,–20° 47′ 20″,151.14,G6V
19,Capricornus,–20° 47′ 20″,151.14,G6V
20,Capricornus,–20° 47′ 20″,151.14,G6V
21,Capricornus,–20° 47′ 20″,151.14,G6V
22,Capricornus,–20° 47′ 20″,151.14,G6V
23,Capricornus,–20° 47′ 20″,151.14,G6V
24,Capricornus,–20° 47′ 20″,151.14,G6V
25,Capricornus,–20° 47′ 20″,151.14,G6V
26,Capricornus,–20° 47′ 20″,151.14,G6V
27,Capricornus,–20° 47′ 20″,151.14,G6V
28,Capricornus,–20° 47′ 20″,151.14,G6V
29,Capricornus,–20° 47′ 20″,151.14,G6V
30,Capricornus,–20° 47′ 20″,151.14,G6V
31,Capricornus,–20° 47′ 20″,151.14,G6V
32,Capricornus,–20° 47′ 20″,151.14,G6V
33,Capricornus,–20° 47′ 20″,151.14,G6V
34,Capricornus,–20° 47′ 20″,151.14,G6V
35,Capricornus,–20° 47′ 20″,151.14,G6V
36,Capricornus,–20° 47′ 20″,151.14,G6V
37,Capricornus,–20° 47′ 20″,151.14,G6V
38,Capricornus,–20° 47′ 20″,151.14,G6V
39,Capricornus,–20° 47′ 20″,151.14,G6V
40,Capricornus,–20° 47′ 20″,151.14,G6V
41,Capricornus,–20° 47′ 20″,151.14,G6V
42,Capricornus,–20° 47′ 20″,151.14,G6V
43,Capricornus,–20° 47′ 20″,151.14,G6V
44,Capricornus,–20° 47′ 20″,151.14,G6V
45,Capricornus,–20° 47′ 20″,151.14,G6V
46,Capricornus,–20° 47′ 20″,151.14,G6V
47,Capricornus,–20° 47′ 20″,151.14,G6V
48,Capricornus,–20° 47′ 20″,151.14,G6V
49,Capricornus,–20° 47′ 20″,151.14,G6V
50,Capricornus,–20° 47′ 20″,151.14,G6V
51,Capricornus,–20° 47′ 20″,151.14,G6V
52,Capricornus,–20° 47′ 20″,151.14,G6V
53,Capricornus,–20° 47′ 20″,151.14,G6V
54,Capricornus,–20° 47′ 20″,151.14,G6V
55,Capricornus,–20° 47′ 20″,151.14,G6V
56,Capricornus,–20° 47′ 20″,151.14,G6V
57,Capricornus,–20° 47′ 20″,151.14,G6V
58,Capricornus,–20° 47′ 20″,151.14,G6V
